NOME COMANDO;QUADRO;script;ENDERE€O IP;TàPICO/ENDERE€O MAC;PORTA;script;LIGADO/DESLIGADO;MENSAGEM
LIGAR RA1 QVE_1S;QVE_1S;mosquitto_pub -h;192.168.1.61;-t gw/000D6F001665C27C/onoffcmd/000D6F00055C1AA0/;17; -m;"""1""";"echo ""Comando enviado!"""
LIGAR CC-1 QVE_1S;QVE_1S;mosquitto_pub -h;192.168.1.61;-t gw/000D6F001665C27C/onoffcmd/000D6F00055C1AA0/;18; -m;"""1""";"echo ""Comando enviado!"""
LIGAR CC-2 QVE_1S;QVE_1S;mosquitto_pub -h;192.168.1.61;-t gw/000D6F001665C27C/onoffcmd/000D6F00055C1AA0/;19; -m;"""1""";"echo ""Comando enviado!"""
LIGAR CC-3 QVE_1S;QVE_1S;mosquitto_pub -h;192.168.1.61;-t gw/000D6F001665C27C/onoffcmd/000D6F00055C1AA0/;20; -m;"""1""";"echo ""Comando enviado!"""
LIGAR RA2 QVE_2S;QVE_2S;mosquitto_pub -h;192.168.1.63;-t gw/000D6F000D3C0FB4/onoffcmd/000D6F000A91B12C/;17; -m;"""1""";"echo ""Comando enviado!"""
LIGAR CC-1 QVE_2S;QVE_2S;mosquitto_pub -h;192.168.1.63;-t gw/000D6F000D3C0FB4/onoffcmd/000D6F000A91B12C/;18; -m;"""1""";"echo ""Comando enviado!"""
LIGAR CC-2 QVE_2S;QVE_2S;mosquitto_pub -h;192.168.1.63;-t gw/000D6F000D3C0FB4/onoffcmd/000D6F000A91B12C/;19; -m;"""1""";"echo ""Comando enviado!"""
LIGAR CC-3 QVE_2S;QVE_2S;mosquitto_pub -h;192.168.1.63;-t gw/000D6F000D3C0FB4/onoffcmd/000D6F000A91B12C/;20; -m;"""1""";"echo ""Comando enviado!"""
LIGAR ILUM ROLAGEM 1 2SS QTE_2S;QTE_2S;mosquitto_pub -h;192.168.1.63;-t gw/000D6F000D3C0FB4/onoffcmd/000D6F00026C225B/;9; -m;"""1""";"echo ""Comando enviado!"""
LIGAR ILUM ROLAGEM 2 2SS QTE_2S;QTE_2S;mosquitto_pub -h;192.168.1.63;-t gw/000D6F000D3C0FB4/onoffcmd/000D6F00026C225B/;10; -m;"""1""";"echo ""Comando enviado!"""
LIGAR ILUM GERAL 2SS 1 QTE_2S;QTE_2S;mosquitto_pub -h;192.168.1.63;-t gw/000D6F000D3C0FB4/onoffcmd/000D6F00026C225B/;11; -m;"""1""";"echo ""Comando enviado!"""
LIGAR ILUM GERAL 2SS 2 QTE_2S;QTE_2S;mosquitto_pub -h;192.168.1.63;-t gw/000D6F000D3C0FB4/onoffcmd/000D6F00026C225B/;12; -m;"""1""";"echo ""Comando enviado!"""
LIGAR ILUM RAMPA QTE_2S;QTE_2S;mosquitto_pub -h;192.168.1.63;-t gw/000D6F000D3C0FB4/onoffcmd/000D6F00026C225B/;13; -m;"""1""";"echo ""Comando enviado!"""
LIGAR ILUM EXTERNA QTE_2S;QTE_2S;mosquitto_pub -h;192.168.1.63;-t gw/000D6F000D3C0FB4/onoffcmd/000D6F00026C225B/;14; -m;"""1""";"echo ""Comando enviado!"""
LIGAR ILUM 1SS ROLAGEM 3 QTN_1S2;QTN_1S2;mosquitto_pub -h;192.168.1.62;-t gw/000D6F001665A047/onoffcmd/000D6F000AF84213/;9; -m;"""1""";"echo ""Comando enviado!"""
LIGAR ILUM 1SS ROLAGEM 4 QTN_1S2;QTN_1S2;mosquitto_pub -h;192.168.1.62;-t gw/000D6F001665A047/onoffcmd/000D6F000AF84213/;10; -m;"""1""";"echo ""Comando enviado!"""
LIGAR ILUM 1SS VAGAS 5 QTN_1S2;QTN_1S2;mosquitto_pub -h;192.168.1.62;-t gw/000D6F001665A047/onoffcmd/000D6F000AF84213/;11; -m;"""1""";"echo ""Comando enviado!"""
LIGAR ILUM  1SS 6 QTN_1S2;QTN_1S2;mosquitto_pub -h;192.168.1.62;-t gw/000D6F001665A047/onoffcmd/000D6F000AF84213/;12; -m;"""1""";"echo ""Comando enviado!"""
LIGAR ILUM 1SS VAGAS 7 QTN_1S2;QTN_1S2;mosquitto_pub -h;192.168.1.62;-t gw/000D6F001665A047/onoffcmd/000D6F000AF84213/;13; -m;"""1""";"echo ""Comando enviado!"""
LIGAR ILUM 1SS VAGAS 8 QTN_1S2;QTN_1S2;mosquitto_pub -h;192.168.1.62;-t gw/000D6F001665A047/onoffcmd/000D6F000AF84213/;14; -m;"""1""";"echo ""Comando enviado!"""
LIGAR ILUM 1SS VAGAS 9 QTN_1S2;QTN_1S2;mosquitto_pub -h;192.168.1.62;-t gw/000D6F001665A047/onoffcmd/000D6F000AF84213/;15; -m;"""1""";"echo ""Comando enviado!"""
LIGAR ILUM ROLAGEM 5 QTN_1S2;QTN_1S2;mosquitto_pub -h;192.168.1.62;-t gw/000D6F001665A047/onoffcmd/000D6F000AF84213/;16; -m;"""1""";"echo ""Comando enviado!"""
LIGAR ILUM JARDIM QTN_1S2;QTN_1S2;mosquitto_pub -h;192.168.1.62;-t gw/000D6F001665A047/onoffcmd/000D6F000AF84213/;17; -m;"""1""";"echo ""Comando enviado!"""
LIGAR ILUM 1SS ROLAGEM 1 QTN_1S1;QTN_1S1;mosquitto_pub -h;192.168.1.63;-t gw/000D6F000D3C0FB4/onoffcmd/000D6F0003065C99/;9; -m;"""1""";"echo ""Comando enviado!"""
LIGAR ILUM 1SS ROLAGEM 2 QTN_1S1;QTN_1S1;mosquitto_pub -h;192.168.1.63;-t gw/000D6F000D3C0FB4/onoffcmd/000D6F0003065C99/;10; -m;"""1""";"echo ""Comando enviado!"""
LIGAR ILUM 1SS VAGAS 1 QTN_1S1;QTN_1S1;mosquitto_pub -h;192.168.1.63;-t gw/000D6F000D3C0FB4/onoffcmd/000D6F0003065C99/;11; -m;"""1""";"echo ""Comando enviado!"""
LIGAR ILUM 1SS VAGAS 2 QTN_1S1;QTN_1S1;mosquitto_pub -h;192.168.1.63;-t gw/000D6F000D3C0FB4/onoffcmd/000D6F0003065C99/;12; -m;"""1""";"echo ""Comando enviado!"""
LIGAR ILUM 1SS VAGAS 3 QTN_1S1;QTN_1S1;mosquitto_pub -h;192.168.1.63;-t gw/000D6F000D3C0FB4/onoffcmd/000D6F0003065C99/;13; -m;"""1""";"echo ""Comando enviado!"""
LIGAR ILUM 1SS VAGAS 4 QTN_1S1;QTN_1S1;mosquitto_pub -h;192.168.1.63;-t gw/000D6F000D3C0FB4/onoffcmd/000D6F0003065C99/;14; -m;"""1""";"echo ""Comando enviado!"""
LIGAR ILUM JARDIM/PETS QTN_1S1;QTN_1S1;mosquitto_pub -h;192.168.1.63;-t gw/000D6F000D3C0FB4/onoffcmd/000D6F0003065C99/;15; -m;"""1""";"echo ""Comando enviado!"""
