NOME COMANDO,QUADRO,script,ENDERE€O IP,TŸPICO/ENDERE€O MAC,PORTA,script,LIGADO/DESLIGADO,MENSAGEM
LIGAR Ilum Vigilia 2 SS Parte A QDLE SS A,QDLE SS A,mosquitto_pub -h,192.168.1.203,-t gw/000D6F001665B3D5/onoffcmd/000D6F0002B5DC07/,9, -m,"""1""","echo ""Comando enviado!"""
LIGAR Iluminacao Circulacao 2 SS Parte A QDLE SS A,QDLE SS A,mosquitto_pub -h,192.168.1.203,-t gw/000D6F001665B3D5/onoffcmd/000D6F0002B5DC07/,10, -m,"""1""","echo ""Comando enviado!"""
LIGAR Iluminacao Vigilia 1 SS Parte A QDLE SS A,QDLE SS A,mosquitto_pub -h,192.168.1.203,-t gw/000D6F001665B3D5/onoffcmd/000D6F0002B5DC07/,11, -m,"""1""","echo ""Comando enviado!"""
LIGAR Ilum Circulacao 1 SS Parte A QDLE SS A,QDLE SS A,mosquitto_pub -h,192.168.1.203,-t gw/000D6F001665B3D5/onoffcmd/000D6F0002B5DC07/,12, -m,"""1""","echo ""Comando enviado!"""
LIGAR Exaustor 1 QVE 1SS,QVE 1SS,mosquitto_pub -h,192.168.1.203,-t gw/000D6F001665B3D5/onoffcmd/000D6F0003094313/,25, -m,"""1""","echo ""Comando enviado!"""
LIGAR Exaustor 2 QVE 1SS,QVE 1SS,mosquitto_pub -h,192.168.1.203,-t gw/000D6F001665B3D5/onoffcmd/000D6F0003094313/,26, -m,"""1""","echo ""Comando enviado!"""
LIGAR Exaustor 3 QVE 1SS,QVE 1SS,mosquitto_pub -h,192.168.1.203,-t gw/000D6F001665B3D5/onoffcmd/000D6F0003094313/,27, -m,"""1""","echo ""Comando enviado!"""
LIGAR Exaustor 4 QVE 1SS,QVE 1SS,mosquitto_pub -h,192.168.1.203,-t gw/000D6F001665B3D5/onoffcmd/000D6F0003094313/,28, -m,"""1""","echo ""Comando enviado!"""
LIGAR Ventiladores Circuito 1 QVE 1SS,QVE 1SS,mosquitto_pub -h,192.168.1.203,-t gw/000D6F001665B3D5/onoffcmd/000D6F0003094313/,29, -m,"""1""","echo ""Comando enviado!"""
LIGAR Ventiladores Circuito 2 QVE 1SS,QVE 1SS,mosquitto_pub -h,192.168.1.203,-t gw/000D6F001665B3D5/onoffcmd/000D6F0003094313/,30, -m,"""1""","echo ""Comando enviado!"""
LIGAR Ventiladores Circuito 3 QVE 1SS,QVE 1SS,mosquitto_pub -h,192.168.1.203,-t gw/000D6F001665B3D5/onoffcmd/000D6F0003094313/,31, -m,"""1""","echo ""Comando enviado!"""
LIGAR Ilum Vigilia 2 SS Parte B QDLE SS B,QDLE SS B,mosquitto_pub -h,192.168.1.203,-t gw/000D6F001665B3D5/onoffcmd/000D6F00042C683E/,9, -m,"""1""","echo ""Comando enviado!"""
LIGAR Iluminacao Circulacao 2 SS Parte B QDLE SS B,QDLE SS B,mosquitto_pub -h,192.168.1.203,-t gw/000D6F001665B3D5/onoffcmd/000D6F00042C683E/,10, -m,"""1""","echo ""Comando enviado!"""
LIGAR Ilum Vigilia 1 SS Parte B QDLE SS B,QDLE SS B,mosquitto_pub -h,192.168.1.203,-t gw/000D6F001665B3D5/onoffcmd/000D6F00042C683E/,11, -m,"""1""","echo ""Comando enviado!"""
LIGAR Ilum Circulacao 1 SS Parte B QDLE SS B,QDLE SS B,mosquitto_pub -h,192.168.1.203,-t gw/000D6F001665B3D5/onoffcmd/000D6F00042C683E/,12, -m,"""1""","echo ""Comando enviado!"""
