name	command	hostgroup-name
LIGAR Bomba 1 K1 QBE_AS_B	mosquitto_pub -h 192.168.1.62 -t gw/000D6F001665A047/onoffcmd/000D6F00044DE247/9 -m "1"	ROOT/CONDOMINIO ELLEVEN/AREA COMUM/QUADROS/AREA QBE_AS_B
DESLIGAR Bomba 1 K1 QBE_AS_B	mosquitto_pub -h 192.168.1.62 -t gw/000D6F001665A047/onoffcmd/000D6F00044DE247/9 -m "0"	ROOT/CONDOMINIO ELLEVEN/AREA COMUM/QUADROS/AREA QBE_AS_B
LIGAR Bomba 2 K2 QBE_AS_B	mosquitto_pub -h 192.168.1.62 -t gw/000D6F001665A047/onoffcmd/000D6F00044DE247/10 -m "1"	ROOT/CONDOMINIO ELLEVEN/AREA COMUM/QUADROS/AREA QBE_AS_B
DESLIGAR Bomba 2 K2 QBE_AS_B	mosquitto_pub -h 192.168.1.62 -t gw/000D6F001665A047/onoffcmd/000D6F00044DE247/10 -m "0"	ROOT/CONDOMINIO ELLEVEN/AREA COMUM/QUADROS/AREA QBE_AS_B
LIGAR Bomba 1 K1 QBE_AS_ C	mosquitto_pub -h 192.168.1.63 -t gw/000D6F000D3C0FB4/onoffcmd/000D6F00029D1F09/9 -m "1"	ROOT/CONDOMINIO ELLEVEN/AREA COMUM/QUADROS/AREA QBE_AS_C
DESLIGAR Bomba 1 K1 QBE_AS_C	mosquitto_pub -h 192.168.1.63 -t gw/000D6F000D3C0FB4/onoffcmd/000D6F00029D1F09/9 -m "0"	ROOT/CONDOMINIO ELLEVEN/AREA COMUM/QUADROS/AREA QBE_AS_C
LIGAR Bomba 2 K2 QBE_AS_C	mosquitto_pub -h 192.168.1.63 -t gw/000D6F000D3C0FB4/onoffcmd/000D6F00029D1F09/10 -m "1"	ROOT/CONDOMINIO ELLEVEN/AREA COMUM/QUADROS/AREA QBE_AS_C
DESLIGAR Bomba 2 K2 QBE_AS_C	mosquitto_pub -h 192.168.1.63 -t gw/000D6F000D3C0FB4/onoffcmd/000D6F00029D1F09/10 -m "0"	ROOT/CONDOMINIO ELLEVEN/AREA COMUM/QUADROS/AREA QBE_AS_C
LIGAR RA1 QVE_1S	mosquitto_pub -h 192.168.1.61 -t gw/000D6F001665C27C/onoffcmd/000D6F00055C1AA0/17 -m "1"	ROOT/CONDOMINIO ELLEVEN/AREA COMUM/QUADROS/AREA QVE_1S
DESLIGAR RA1 QVE_1S	mosquitto_pub -h 192.168.1.61 -t gw/000D6F001665C27C/onoffcmd/000D6F00055C1AA0/17 -m "0"	ROOT/CONDOMINIO ELLEVEN/AREA COMUM/QUADROS/AREA QVE_1S
LIGAR CC-1 QVE_1S	mosquitto_pub -h 192.168.1.61 -t gw/000D6F001665C27C/onoffcmd/000D6F00055C1AA0/18 -m "1"	ROOT/CONDOMINIO ELLEVEN/AREA COMUM/QUADROS/AREA QVE_1S
DESLIGAR CC-1 QVE_1S	mosquitto_pub -h 192.168.1.61 -t gw/000D6F001665C27C/onoffcmd/000D6F00055C1AA0/18 -m "0"	ROOT/CONDOMINIO ELLEVEN/AREA COMUM/QUADROS/AREA QVE_1S
