name,command,host_access,usrgrpid,groupid,hostgroup-name,description,confirmation,type,execute_on,timeout,scope,port,authtype,username,password,publickey,privatekey,menu_path
LIGAR Bomba 1 QBE AP,"mosquitto_pub -h 192.168.0.51 -t gw/000D6F001665BA57/onoffcmd/000D6F0002B5E38A/9 -m ""1""",2,0,319,ROOT/CONDOMINIO VILLAGGIO/TORRE B/AREA COMUM/QUADROS/AREA QBE_AP,,Tem certeza?,0,1,30s,2,,0,,,,,
DESLIGAR Bomba 1 QBE AP,"mosquitto_pub -h 192.168.0.51 -t gw/000D6F001665BA57/onoffcmd/000D6F0002B5E38A/9 -m ""0""",2,0,319,ROOT/CONDOMINIO VILLAGGIO/TORRE B/AREA COMUM/QUADROS/AREA QBE_AP,,Tem certeza?,0,1,30s,2,,0,,,,,
LIGAR Bomba 2 QBE AP,"mosquitto_pub -h 192.168.0.51 -t gw/000D6F001665BA57/onoffcmd/000D6F0002B5E38A/10 -m ""1""",2,0,319,ROOT/CONDOMINIO VILLAGGIO/TORRE B/AREA COMUM/QUADROS/AREA QBE_AP,,Tem certeza?,0,1,30s,2,,0,,,,,
DESLIGAR Bomba 2 QBE AP,"mosquitto_pub -h 192.168.0.51 -t gw/000D6F001665BA57/onoffcmd/000D6F0002B5E38A/10 -m ""0""",2,0,319,ROOT/CONDOMINIO VILLAGGIO/TORRE B/AREA COMUM/QUADROS/AREA QBE_AP,,Tem certeza?,0,1,30s,2,,0,,,,,
LIGAR Bomba 1 QBE AS,"mosquitto_pub -h 192.168.0.51 -t gw/000D6F001665BA57/onoffcmd/000D6F0002B5CD39/9 -m ""1""",2,0,321,ROOT/CONDOMINIO VILLAGGIO/TORRE B/AREA COMUM/QUADROS/AREA QBE_AS,,Tem certeza?,0,1,30s,2,,0,,,,,
DESLIGAR Bomba 1 QBE AS,"mosquitto_pub -h 192.168.0.51 -t gw/000D6F001665BA57/onoffcmd/000D6F0002B5CD39/9 -m ""0""",2,0,321,ROOT/CONDOMINIO VILLAGGIO/TORRE B/AREA COMUM/QUADROS/AREA QBE_AS,,Tem certeza?,0,1,30s,2,,0,,,,,
LIGAR Bomba 2 QBE AS,"mosquitto_pub -h 192.168.0.51 -t gw/000D6F001665BA57/onoffcmd/000D6F0002B5CD39/10 -m ""1""",2,0,321,ROOT/CONDOMINIO VILLAGGIO/TORRE B/AREA COMUM/QUADROS/AREA QBE_AS,,Tem certeza?,0,1,30s,2,,0,,,,,
DESLIGAR Bomba 2 QBE AS,"mosquitto_pub -h 192.168.0.51 -t gw/000D6F001665BA57/onoffcmd/000D6F0002B5CD39/10 -m ""0""",2,0,321,ROOT/CONDOMINIO VILLAGGIO/TORRE B/AREA COMUM/QUADROS/AREA QBE_AS,,Tem certeza?,0,1,30s,2,,0,,,,,
LIGAR Bomba 1 QBE REC A,"mosquitto_pub -h 192.168.0.51 -t gw/000D6F001665BA57/onoffcmd/000D6F0003139FEB/17 -m ""1""",2,0,322,ROOT/CONDOMINIO VILLAGGIO/TORRE B/AREA COMUM/QUADROS/AREA QBE_REC_A,,Tem certeza?,0,1,30s,2,,0,,,,,
DESLIGAR Bomba 1 QBE REC A,"mosquitto_pub -h 192.168.0.51 -t gw/000D6F001665BA57/onoffcmd/000D6F0003139FEB/17 -m ""0""",2,0,322,ROOT/CONDOMINIO VILLAGGIO/TORRE B/AREA COMUM/QUADROS/AREA QBE_REC_A,,Tem certeza?,0,1,30s,2,,0,,,,,
LIGAR Bomba 2 QBE REC A,"mosquitto_pub -h 192.168.0.51 -t gw/000D6F001665BA57/onoffcmd/000D6F0003139FEB/18 -m ""1""",2,0,322,ROOT/CONDOMINIO VILLAGGIO/TORRE B/AREA COMUM/QUADROS/AREA QBE_REC_A,,Tem certeza?,0,1,30s,2,,0,,,,,
DESLIGAR Bomba 2 QBE REC A,"mosquitto_pub -h 192.168.0.51 -t gw/000D6F001665BA57/onoffcmd/000D6F0003139FEB/18 -m ""0""",2,0,322,ROOT/CONDOMINIO VILLAGGIO/TORRE B/AREA COMUM/QUADROS/AREA QBE_REC_A,,Tem certeza?,0,1,30s,2,,0,,,,,
LIGAR Bomba 1 QBE REC B,"mosquitto_pub -h 192.168.0.51 -t gw/000D6F001665BA57/onoffcmd/000D6F0002A6A8CC/17 -m ""1""",2,0,323,ROOT/CONDOMINIO VILLAGGIO/TORRE B/AREA COMUM/QUADROS/AREA QBE_REC_B,,Tem certeza?,0,1,30s,2,,0,,,,,
DESLIGAR Bomba 1 QBE REC B,"mosquitto_pub -h 192.168.0.51 -t gw/000D6F001665BA57/onoffcmd/000D6F0002A6A8CC/17 -m ""0""",2,0,323,ROOT/CONDOMINIO VILLAGGIO/TORRE B/AREA COMUM/QUADROS/AREA QBE_REC_B,,Tem certeza?,0,1,30s,2,,0,,,,,
LIGAR Bomba 2 QBE REC B,"mosquitto_pub -h 192.168.0.51 -t gw/000D6F001665BA57/onoffcmd/000D6F0002A6A8CC/18 -m ""1""",2,0,323,ROOT/CONDOMINIO VILLAGGIO/TORRE B/AREA COMUM/QUADROS/AREA QBE_REC_B,,Tem certeza?,0,1,30s,2,,0,,,,,
DESLIGAR Bomba 2 QBE REC B,"mosquitto_pub -h 192.168.0.51 -t gw/000D6F001665BA57/onoffcmd/000D6F0002A6A8CC/18 -m ""0""",2,0,323,ROOT/CONDOMINIO VILLAGGIO/TORRE B/AREA COMUM/QUADROS/AREA QBE_REC_B,,Tem certeza?,0,1,30s,2,,0,,,,,
LIGAR Bomba 1 QBE REC C,"mosquitto_pub -h 192.168.0.51 -t gw/000D6F001665BA57/onoffcmd/000D6F000BE28021/17 -m ""1""",2,0,324,ROOT/CONDOMINIO VILLAGGIO/TORRE B/AREA COMUM/QUADROS/AREA QBE_REC_C,,Tem certeza?,0,1,30s,2,,0,,,,,
DESLIGAR Bomba 1 QBE REC C,"mosquitto_pub -h 192.168.0.51 -t gw/000D6F001665BA57/onoffcmd/000D6F000BE28021/17 -m ""0""",2,0,324,ROOT/CONDOMINIO VILLAGGIO/TORRE B/AREA COMUM/QUADROS/AREA QBE_REC_C,,Tem certeza?,0,1,30s,2,,0,,,,,
